,group_name,city,country,ratings,created_date,members,last_event,next_event,category,primary_topic,membership_fees,last_event_rsvp,next_event_rsvp
2267,Make a Film in a Day - BAY AREA,San Francisco,US,4.85,1347032887000,1362,,,movies/film,,0,,
2268,The San Francisco Rockers' Club,San Francisco,US,4.78,1347051609000,39,,,music,,0,,
2269,Sahaja Yoga Meditation Fremont,Fremont,US,4.88,1347056241000,342,,,health/wellbeing,,0,,
2270,GoSV,San Mateo,US,4.96,1347112621000,458,,,tech,,0,,
2271,Motivated Young People in Vallejo & Benicia (21-34),Vallejo,US,4.72,1347320216000,205,,,movements/politics,,0,,
2272,Sunday Singalong,San Francisco,US,0,1347322555000,2,,,music,,0,,
2273,School for Self-Healing,San Francisco,US,5,1347399068000,100,,,health/wellbeing,,0,,
2274,When Entrepreneurs Meet Investors,San Francisco,US,4.72,1347420019000,1188,,,career/business,,0,,
2275,Comedy Workshop - Bay Area,San Francisco,US,4.77,1347462502000,383,,,socializing,,0,,
2276,Secret Dining - Supper Clubs in SF Bay Area,Oakland,US,4.99,1347496375000,3292,,,food/drink,,0,,
2277,Scrabble Fun in Concord,Concord,US,4.78,1347572407000,49,,,games,,0,,
2278,A Cappella Barbershop Singing,Burlingame,US,5,1347732177000,27,,,music,,0,,
2279,CA You Only Live Once,San Francisco,US,4.6,1347740997000,799,,,socializing,,0,,
2280,San Francisco Business Collaboration Meetup Group,San Francisco,US,0,1347813682000,27,,,tech,,0,,
2281,RWS Fun Dads,Redwood City,US,0,1347908605000,22,,,parents/family,,0,,
2282,The A List Connection for Singles over 40,Fremont,US,4.9,1347909938000,358,,,singles,,0,,
2283,"Meet Asian Women, Upscale professional Singles 30s-50s & 60s",San Francisco,US,3.78,1347926129000,998,,,singles,,0,,
2284,Forgiveness,San Rafael,US,4.75,1348008236000,86,,,health/wellbeing,,0,,
2285,Spiritual and Polyamorous,Hayward,US,4.9,1348013015000,415,,,health/wellbeing,,0,,
2286,"""Bay Area Cycling, Hiking, and Wine Tasting""",San Francisco,US,4.86,1348118778000,2937,,,outdoors/adventure,,0,,
2287,SF Bay Area Jewish Volunteers,San Francisco,US,5,1348126933000,274,,,community/environment,,0,,
2288,Kong/SF,San Francisco,US,4.89,1348165687000,293,,,tech,,0,,
2289,San Francisco Yoga & Meditation for Self-Awareness,San Francisco,US,4.67,1348272231000,403,,,health/wellbeing,,0,,
2290,Relational Alchemy,Oakland,US,4.96,1348340401000,158,,,education/learning,,0,,
2291,"Social Media Breakfast, East Bay",Oakland,US,4.86,1348384158000,587,,,tech,,0,,
2292,"She She SF - Classy, Fun Events for Lesbians Over 40!",San Francisco,US,5,1348498578000,307,,,LGBT,,0,,
2293,Marintrepreneurs,Mill Valley,US,4.33,1348510523000,117,,,career/business,,0,,
2294,Oracle Open World EPM/BI meetup,San Francisco,US,5,1348520641000,115,,,tech,,0,,
2295,Bay Area Usability Experience Professionals Assoc. (BA-UXPA),Redwood City,US,4.59,1348593961000,1538,,,tech,,0,,
2296,Silicon Valley Open Innovation Group,San Francisco,US,4.9,1348628950000,107,,,community/environment,,0,,
2297,Energy tools for self-empowerment ~ Marin County,Sausalito,US,5,1348680326000,175,,,new age/spirituality,,0,,
2298,Open Data Bay Area,San Francisco,US,4.83,1348687147000,1125,,,tech,,0,,
2299,Slash Fandom Meetup (East Bay),Oakland,US,4.9,1348699223000,80,,,sci-fi/fantasy,,0,,
2300,Canon Live Learning San Francisco,San Francisco,US,4.66,1348768479000,1330,,,photography,,0,,
2301,Girlfriends of the East Bay,Walnut Creek,US,4.74,1348879931000,596,,,socializing,,0,,
2302,Startups Showcase,San Francisco,US,4.74,1348893469000,4383,,,career/business,,0,,
2303,Northern California Black Lesbians (NCBL),Oakland,US,4.48,1348978003000,242,,,LGBT,,0,,
2304,CoFoundersLab Matchup San Francisco,San Francisco,US,4.45,1349038864000,1131,,,career/business,,0,,
2305,Peninsula Italian Language Meetup,Burlingame,US,4.83,1349040373000,251,,,language/ethnic identity,,0,,
2306,SF Hookah,San Francisco,US,4.97,1349059411000,235,,,hobbies/crafts,,0,,
2307,Bay Area LGBT Vegans/Vegetarians,Oakland,US,4.83,1349063486000,290,,,LGBT,,0,,
2308,"East Bay ""Write to Heal"" Circle",San Leandro,US,4.86,1349064059000,318,,,health/wellbeing,,0,,
2309,East Bay Single with Dogs Meetup Group,Oakland,US,4.12,1349065527000,797,,,singles,,0,,
2310,North Bay Writers Workshop: THE Bay Area's Writers Resource,Novato,US,4.64,1349077805000,298,,,writing,,0,,
2311,R-ladies,San Francisco,US,4.96,1349108901000,656,,,tech,,0,,
2312,Mobile App Marketing,Palo Alto,US,5,1349116244000,648,,,tech,,0,,
2313,Peninsula Forward Thinking Parents of Kids with ADHD/ADD,San Mateo,US,0,1349150706000,83,,,support,,0,,
2314,"Movies at Century25, Union City",Hayward,US,0,1349280415000,166,,,movies/film,,0,,
2315,SF Dads Group - At-Home Dads in San Francisco,San Francisco,US,4.88,1349305628000,58,,,parents/family,,0,,
2316,East Bay Mobile Developers,Fremont,US,0,1349308105000,87,,,tech,,0,,
2317,Peninsula Travel Group,San Mateo,US,4.88,1349373454000,132,,,outdoors/adventure,,0,,
2318,Travel~Trips~Tours~Explore~No Reason to go it ALONE Anymore!,San Leandro,US,0,1349546126000,245,,,outdoors/adventure,,0,,
2319,Bay Area Queer 20-30-Somethings,Oakland,US,4.78,1349560335000,1141,,,LGBT,,0,,
2320,Sahaja Yoga Meditation Redwood,Redwood City,US,4,1349573919000,187,,,health/wellbeing,,0,,
2321,Music Tech,San Francisco,US,4.79,1349667504000,473,,,music,,0,,
2322,Amazon Web Services in Palo Alto,Palo Alto,US,3.67,1349724221000,314,,,tech,,0,,
2323,Digital Marketing Leaders San Francisco/Bay Area,San Francisco,US,4.42,1349731615000,586,,,career/business,,0,,
2324,East Bay Night Time Photography Fanatics,San Lorenzo,US,4.64,1349734701000,569,,,photography,,0,,
2325,SF Fashion and Beauty Bloggers,San Francisco,US,4.96,1349751912000,221,,,fashion/beauty,,0,,
2326,Artup: Artists & Technologists,San Francisco,US,3.96,1349759439000,566,,,tech,,0,,
2327,Woman Startup,Palo Alto,US,4.85,1349760564000,691,,,career/business,,0,,
2328,eye to eye,Fremont,US,0,1349840064000,1,,,religion/beliefs,,0,,
2329,San Francisco Bay Chapter Gay & Lesbian Sierrans,Berkeley,US,4.81,1349844436000,1220,,,LGBT,,0,,
2330,SF Family Game Night,San Francisco,US,5,1349904849000,42,,,games,,0,,
2331,Fried Chicken Friday,San Francisco,US,0,1349913153000,31,,,tech,,0,,
2332,Bay Area IBM Mainframe SystemZ Users,San Francisco,US,0,1349921981000,20,,,tech,,0,,
2333,SF JIRA Project Management,San Francisco,US,1,1349970228000,160,,,tech,,0,,
2334,HealthTech Women,San Francisco,US,4.82,1349985535000,1056,,,career/business,,0,,
2335,"SF - Bootstrappers, Freelancers & Collaborators",San Francisco,US,4.63,1350001659000,578,,,career/business,,0,,
2336,Northern California HBCUC,Oakland,US,0,1350091010000,4,,,photography,,0,,
2337,Good times w/ Wine & Girlfriends 20s & 30s,San Francisco,US,4.78,1350184645000,1340,,,socializing,,0,,
2338,Hostel Staff in San Francisco,San Francisco,US,4.5,1350285501000,19,,,socializing,,0,,
2339,PrestaShop - San Francisco Meetup Group,San Francisco,US,0,1350332572000,29,,,tech,,0,,
2340,PHP / Python / Web Dev: Make Extra $$$ on Side Projects,San Mateo,US,0,1350345096000,247,,,tech,,0,,
2341,Passive House California,San Francisco,US,4.86,1350368475000,192,,,community/environment,,0,,
2342,"Bay Area ""Teach kids to code"" group",Palo Alto,US,5,1350505290000,717,,,education/learning,,0,,
2343,MFT Interns- Process and Support Group,Burlingame,US,0,1350508695000,37,,,support,,0,,
2344,Food Crawls,San Francisco,US,4.96,1350524000000,267,,,food/drink,,0,,
2345,Tinderbox,San Francisco,US,4.86,1350669424000,2715,,,tech,,0,,
2346,San Francisco Open Source Developers,San Francisco,US,4.48,1350677543000,365,,,tech,,0,,
2347,Works by Women San Francisco,San Francisco,US,4.54,1350683095000,352,,,fine arts/culture,,0,,
2348,beer.js palo alto,Palo Alto,US,4.85,1350710505000,145,,,tech,,0,,
2349,PLAY in The Bay!,San Francisco,US,5,1350770546000,221,,,LGBT,,0,,
2350,Lifetree Café Bay Area,Palo Alto,US,4.51,1350774492000,112,,,socializing,,0,,
2351,PongPlanet Meetup Group,San Carlos,US,4.74,1350930990000,396,,,sports/recreation,,0,,
2352,Spiritual Singles of Marin,Mill Valley,US,4.62,1351121630000,110,,,new age/spirituality,,0,,
2353,Anime Visions,San Francisco,US,4.71,1351139483000,501,,,sci-fi/fantasy,,0,,
2354,Mommies of the Richmond,San Francisco,US,4.86,1351190134000,315,,,parents/family,,0,,
2355,Bay Area Parents for Commercial-Free Childhood,San Francisco,US,5,1351204328000,75,,,parents/family,,0,,
2356,Ultracode Meetup with Intel: Code & Tell,San Francisco,US,4.59,1351206138000,276,,,tech,,0,,
2357,NorCal Pleasure Without Borders,Oakland,US,4.48,1351212650000,311,,,singles,,0,,
2358,Bay Area Bookworms Book Club,Oakland,US,4.76,1351229000000,682,,,book clubs,,0,,
2359,Socially Green,San Francisco,US,4,1351389344000,94,,,community/environment,,0,,
2360,San Francisco Fashion & Style Bloggers,San Francisco,US,4.6,1351398059000,186,,,tech,,0,,
2361,RAW.marketing,San Francisco,US,4.75,1351499973000,75,,,tech,,0,,
2362,AFWA (formally ASWA) Accounting & Finance Women's Alliance,San Francisco,US,4.93,1351532581000,166,,,career/business,,0,,
2363,NextSpace Coworking Union Square,San Francisco,US,4.79,1351536174000,145,,,career/business,,0,,
2364,Marin Mastermind / PNG Business & Personal Support Group,San Rafael,US,4.71,1351541916000,3,,,career/business,,0,,
2365,San Francisco SF Bay Area Kizomba Semba Meetup,Oakland,US,4.71,1351549553000,305,,,dancing,,0,,
2366,Horticultural Art,Oakland,US,0,1351572381000,76,,,hobbies/crafts,,0,,
2367,Spiritual Tools for Change (San Francisco),San Francisco,US,0,1351627701000,24,,,new age/spirituality,,0,,
2368,Boomers helping boomers plan for the future,San Francisco,US,4.76,1351630157000,138,,,education/learning,,0,,
2369,Silicon Valley Mergers & Acquisitions and Corporate Law,Palo Alto,US,5,1351695461000,196,,,career/business,,0,,
2370,Digital Homesteading,San Francisco,US,0,1351713869000,112,,,community/environment,,0,,
2371,She Talks,San Francisco,US,4,1351823533000,234,,,career/business,,0,,
2372,Personal Capital Engineering,Redwood City,US,5,1351887148000,146,,,tech,,0,,
2373,Startup + Hackathon // SF Bay,San Francisco,US,3.62,1351887523000,598,,,tech,,0,,
2374,The Visionary Women & Enlightened Men Network,Oakland,US,4.94,1351887556000,208,,,career/business,,0,,
2375,Makers,San Francisco,US,4.77,1351891370000,1322,,,hobbies/crafts,,0,,
2376,The Nature Journal Club,San Francisco,US,4.89,1351905239000,467,,,fine arts/culture,,0,,
2377,African Spiritual Traditions of the Bay Area,Oakland,US,4.92,1351924679000,190,,,new age/spirituality,,0,,
2378,Bay Area Gay Spirit/Flesh and Spirit Queer Men's Drum Circle,San Francisco,US,5,1352009808000,103,,,music,,0,,
2379,Palo Alto Meditation Group,Palo Alto,US,4.97,1352076271000,673,,,health/wellbeing,,0,,
2380,edX Bay Area Community,San Francisco,US,4,1352128756000,112,,,tech,,0,,
2381,The Passive Income Workshop of Northern California,Belvedere Tiburon,US,5,1352152115000,40,,,career/business,,0,,
2382,Lean Content,San Francisco,US,4.79,1352152866000,589,,,career/business,,0,,
2383,Retail Technology Pioneers,San Francisco,US,4.63,1352159950000,426,,,tech,,0,,
2384,Start-Up Entrepreneurship Law (SEL),San Mateo,US,4.73,1352180449000,444,,,tech,,0,,
2385,25-35 Fabulous Fremont Ladies,Fremont,US,4.97,1352238401000,102,,,socializing,,0,,
2386,Gender-Benders & Friends,San Francisco,US,0,1352255843000,73,,,LGBT,,0,,
2387,20s and 30s Ladies of the Creek Book Club,Walnut Creek,US,4.5,1352268210000,262,,,socializing,,0,,
2388,The Palo Alto Design & Technology Group,Palo Alto,US,0,1352273561000,132,,,tech,,0,,
2389,East Bay Film/Art/Music/Culture,Berkeley,US,4.63,1352323109000,867,,,movies/film,,0,,
2390,SF Startup Marketers,San Francisco,US,4.89,1352326175000,678,,,career/business,,0,,
2391,The SF Bay Area Instrumental Music Practice Meetup,Menlo Park,US,0,1352336332000,113,,,music,,0,,
2392,The REVOLUTION OF LOVE MINISTRY (ROL),Berkeley,US,4.97,1352453231000,49,,,new age/spirituality,,0,,
2393,Academic Writing Meetup,San Francisco,US,4.67,1352486998000,236,,,education/learning,,0,,
2394,e-commerce San Francisco,San Francisco,US,4.98,1352496618000,350,,,tech,,0,,
2395,Startups funded @ Startups Showcase,San Francisco,US,3,1352505849000,247,,,career/business,,0,,
2396,"Working With Stress, Fear and Healing Trauma",Berkeley,US,4.5,1352578026000,80,,,support,,0,,
2397,SF Weekend Chillaxers! (mid-20s to mid-30s),San Francisco,US,4.87,1352578582000,2526,,,socializing,,0,,
2398,The Humanist Connection: Serving Silicon Valley,Stanford,US,4.77,1352593881000,417,,,religion/beliefs,,0,,
2399,'NorCal Hikers (20s & 30s)',San Francisco,US,4.9,1352693317000,6896,,,outdoors/adventure,,0,,
2400,Vaginal Fantasy Local Hangout- San Francisco,San Francisco,US,4.5,1352746607000,40,,,sci-fi/fantasy,,0,,
2401,San Francisco Startup Fun,San Francisco,US,4.67,1352755763000,644,,,career/business,,0,,
2402,ZANG Talk,Palo Alto,US,5,1352765652000,29,,,religion/beliefs,,0,,
2403,English Language Educators,San Francisco,US,5,1352857053000,76,,,education/learning,,0,,
2404,Women in Wellness - Saturday Series,Oakland,US,4.88,1352874023000,72,,,socializing,,0,,
2405,SF Young Professional Canadian Expats,San Francisco,US,4.93,1352918019000,154,,,socializing,,0,,
2406,NSMeetup - San Francisco iPhone iOS Developers Swift & Obj-C,San Francisco,US,4.71,1352925826000,3195,,,tech,,0,,
2407,Oakland Mastermind for Entrepreneurs,Oakland,US,4.91,1352945507000,373,,,career/business,,0,,
2408,Berkeley-Emeryville Bioscience,Berkeley,US,4.6,1353013042000,786,,,education/learning,,0,,
2409,Silicon Valley AgTech,Palo Alto,US,4.72,1353033332000,409,,,career/business,,0,,
2410,Bay Area 20's/30's Healthcare Professionals Club,San Francisco,US,5,1353049458000,415,,,career/business,,0,,
2411,Bay Area Cross Country Skiing (and other winter sports),Oakland,US,4.67,1353071476000,368,,,outdoors/adventure,,0,,
2412,Tinkering Toms - Photography Group,San Francisco,US,4.64,1353080678000,221,,,photography,,0,,
2413,Startup Grind Stanford,Stanford,US,0,1353097410000,321,,,career/business,,0,,
2414,Cool Geeks DevOps,San Francisco,US,5,1353124744000,191,,,tech,,0,,
2415,Bliss Out in Oakland - Full Moon Meditations,Oakland,US,4.96,1353130664000,384,,,new age/spirituality,,0,,
2416,The Hive Big Data Think Tank,Palo Alto,US,4.53,1353355186000,7760,,,tech,,0,,
2417,Lean Beer,San Francisco,US,4.66,1353362043000,192,,,tech,,0,,
2418,San Francisco Chapter of the National Stuttering Association,San Francisco,US,5,1353364125000,28,,,support,,0,,
2419,Mysteriously Successful Powerful HAPPY People,Pacifica,US,5,1353398757000,25,,,new age/spirituality,,0,,
2420,Bead Inspirations Beading Group,Alameda,US,5,1353428392000,245,,,hobbies/crafts,,0,,
2421,"Lean Startup Circle - Menlo Park, Silicon Valley",Menlo Park,US,4.52,1353438804000,620,,,tech,,0,,
2422,sysadmins@San Francisco,San Francisco,US,4.85,1353446959000,128,,,tech,,0,,
2423,The Sausalito Investor's Business Daily Meetup Group,Sausalito,US,4.9,1353468312000,244,,,career/business,,0,,
2424,Influence Others,San Francisco,US,4.84,1353545006000,459,,,career/business,,0,,
2425,"Friends, Food, Drinks and Books",San Mateo,US,4.68,1353699203000,200,,,socializing,,0,,
2426,Bay Area ABCDs (American Born Classy Desis),Union City,US,4.76,1353715207000,1517,,,language/ethnic identity,,0,,
2427,San Francisco EDM,San Francisco,US,4.69,1353717027000,3212,,,music,,0,,
2428,Lucky Bay Area Dogs,Walnut Creek,US,4.9,1353778942000,519,,,pets/animals,,0,,
2429,Ladies of Sunset District 30's 40's,San Francisco,US,4.93,1353792788000,164,,,outdoors/adventure,,0,,
2430,Belly Dance East Bay,Berkeley,US,4.38,1353795433000,185,,,dancing,,0,,
2431,The Geek Collective of Gamescape SF,San Francisco,US,4.7,1353796275000,992,,,games,,0,,
2432,Femgineers,Palo Alto,US,4.84,1353862046000,1580,,,tech,,0,,
2433,WineTech,Palo Alto,US,3,1353870240000,308,,,tech,,0,,
2434,Girlfriends in the City (SF),San Francisco,US,4.95,1353947145000,49,,,socializing,,0,,
2435,Women Drummers International,Oakland,US,4.92,1353954076000,237,,,music,,0,,
2436,Mobile Security,San Francisco,US,3.67,1354046000000,206,,,tech,,0,,
2437,sanfranciscosingles,San Francisco,US,0,1354054355000,90,,,singles,,0,,
2438,Bay Area Peninsula: Five Pieces of Big Data Puzzle,San Mateo,US,0,1354142319000,159,,,tech,,0,,
2439,Bay Area Dancing for Singles and Couples,Concord,US,4.33,1354221012000,975,,,dancing,,0,,
2440,Mike's Bikes,San Rafael,US,3.76,1354230580000,447,,,outdoors/adventure,,0,,
2441,Oakland Vegetable Growers,Oakland,US,4.91,1354233429000,245,,,community/environment,,0,,
2442,Actorsdialogue,San Francisco,US,4.5,1354295783000,62,,,fine arts/culture,,0,,
2443,Northwestern University MSPA - SF Bay Area,Menlo Park,US,5,1354300940000,78,,,tech,,0,,
2444,"Bay Area/Nor Cal Backcountry Snowboarders...and skiers, too",San Francisco,US,4.69,1354303167000,281,,,outdoors/adventure,,0,,
2445,Finding Freedom from Emotional Eating Group,Berkeley,US,0,1354303628000,61,,,support,,0,,
2446,Women of Vision San Francisco Meetup,San Francisco,US,4.85,1354339981000,31,,,career/business,,0,,
2447,Northern California HBCUC Alumni & Students,Oakland,US,4.64,1354378891000,323,,,language/ethnic identity,,0,,
2448,European Entrepreneurship @ Stanford,Stanford,US,4.64,1354417314000,415,,,career/business,,0,,
2449,San Francisco Dutch Language Meetup,San Francisco,US,4.8,1354488422000,187,,,language/ethnic identity,,0,,
2450,Alameda Photographic Society,Alameda,US,4.84,1354508009000,549,,,photography,,0,,
2451,Padrino SF,San Francisco,US,5,1354577241000,35,,,tech,,0,,
2452,Stanford Chen Taiji,Stanford,US,0,1354595052000,60,,,health/wellbeing,,0,,
2453,Fremont Successful Thinkers Network,Fremont,US,4.88,1354605918000,544,,,career/business,,0,,
2454,Open Analytics San Francisco,San Francisco,US,5,1354642661000,246,,,tech,,0,,
2455,Fremont/Tri-City Volleyball  Meetup Group,Fremont,US,4.35,1354651610000,322,,,sports/recreation,,0,,
2456,LGBTQ Spiritual Living - Contra Costa County,Concord,US,4.88,1354662639000,193,,,LGBT,,0,,
2457,Dedicated Dharma Dykes,San Francisco,US,4.35,1354673986000,145,,,LGBT,,0,,
2458,Travel Photography,San Francisco,US,4.7,1354750904000,538,,,photography,,0,,
2459,Northern California Fetish Explorers Forum,Oakland,US,4.41,1354783693000,750,,,alternative lifestyle,,0,,
2460,Bay Area Creative Freelancer Guild,San Francisco,US,4.77,1354913658000,393,,,tech,,0,,
2461,Saaheli,Fremont,US,4.87,1355006529000,223,,,language/ethnic identity,,0,,
2462,Vegans for Animals,Oakland,US,4.94,1355189433000,362,,,movements/politics,,0,,
2463,Kol Hadash,Berkeley,US,5,1355195757000,58,,,religion/beliefs,,0,,
2464,Loving Your Body - Women's Group,San Francisco,US,0,1355241735000,15,,,health/wellbeing,,0,,
2465,ASWA / East Bay Accounting and Finance Women's Association,Oakland,US,5,1355339790000,188,,,career/business,,0,,
2466,Gay & Lesbian Professionals - Career & Job Hunt Support,San Francisco,US,0,1355418717000,76,,,career/business,,0,,
2467,PrettyMobile Meetup - UI/UX/Design,San Francisco,US,4.82,1355437668000,651,,,tech,,0,,
2468,Open Source Finance,San Francisco,US,5,1355523745000,222,,,tech,,0,,
2469,American Singles Who Love Asian,San Mateo,US,4.31,1355537372000,512,,,language/ethnic identity,,0,,
2470,Side Projects and Parties (Late Labs),San Francisco,US,5,1355689852000,160,,,tech,,0,,
2471,Singles with Advanced Degrees,San Mateo,US,4.4,1355711502000,335,,,singles,,0,,
2472,"Qigong, Tai Chi & Fitness",San Bruno,US,5,1355714570000,397,,,health/wellbeing,,0,,
2473,San Francisco / Bay Area - Hue Users and Hadoop UI,San Francisco,US,4.17,1355785996000,154,,,tech,,0,,
2474,Bay Area Overland & Expedition Group,San Carlos,US,4.97,1355858818000,226,,,outdoors/adventure,,0,,
2475,Concord Widows & Widowers,Concord,US,4.75,1355963712000,45,,,support,,0,,
2476,Type A Yoga Moms Group,Martinez,US,5,1356128968000,114,,,parents/family,,0,,
2477,Ladies of the Book Club,San Francisco,US,4.57,1356134466000,198,,,LGBT,,0,,
2478,SF Growth Hackers,San Francisco,US,4.82,1356381964000,1065,,,tech,,0,,
2479,Bay Area Indian Singles,Fremont,US,4.74,1356468297000,1610,,,support,,0,,
2480,CCK SUP,Oakland,US,4.96,1356598987000,534,,,sports/recreation,,0,,
2481,Play Bridge in the mid-Peninsula,Redwood City,US,4.85,1356654155000,65,,,games,,0,,
2482,Bay Area Black MultiLinguals: Spanish Conversation,Oakland,US,4.74,1356823186000,241,,,language/ethnic identity,,0,,
2483,40's-60's  East Bay Couples Group for Fun Date Nights!,Walnut Creek,US,4.88,1356823188000,218,,,socializing,,0,,
2484,Tri-City Knitting (Crochet and More!),Union City,US,4.9,1356926586000,169,,,hobbies/crafts,,0,,
2485,Alternative Therapies to  Wellness Meetup,Palo Alto,US,4.72,1357020237000,72,,,health/wellbeing,,0,,
2486,Bay Area Backbone.js,Redwood City,US,4.63,1357048516000,462,,,tech,,0,,
2487,Mid-Peninsula Running Club,San Mateo,US,4.92,1357067307000,424,,,fitness,,0,,
2488,Thriving Beyond Addiction,Walnut Creek,US,0,1357070405000,18,,,support,,0,,
2489,San Francisco Social Bowling!,San Francisco,US,4,1357075256000,1030,,,socializing,,0,,
2490,SF Tech Happy Hour,San Francisco,US,4.22,1357155430000,903,,,tech,,0,,
2491,Peninsula Trail Running,San Carlos,US,4.94,1357160701000,499,,,fitness,,0,,
2492,Going Out Girls in San Francisco! 20s-30s,San Francisco,US,4.88,1357166254000,1209,,,socializing,,0,,
2493,bay area women's healing conference community,Palo Alto,US,5,1357320183000,125,,,new age/spirituality,,0,,
2494,Meteor SF Bay Area,San Francisco,US,4.88,1357325854000,3001,,,tech,,0,,
2495,San Francisco Style: Modeling & Beauty,South San Francisco,US,4.62,1357337340000,147,,,fashion/beauty,,0,,
2496,San Francisco Beginning Bookbinders,San Francisco,US,1,1357432202000,79,,,hobbies/crafts,,0,,
2497,FoodTech,Palo Alto,US,4.75,1357440626000,223,,,socializing,,0,,
2498,Movie Going Club - SF (San Francisco),San Francisco,US,4.77,1357451218000,1201,,,movies/film,,0,,
2499,Femmes & Friends of SF Bay,Fremont,US,0,1357455396000,26,,,LGBT,,0,,
2500,SF Bay Kickstarters & Crowdfunding,Berkeley,US,4.98,1357534546000,753,,,career/business,,0,,
2501,The Queer Paulettes: Girls Who Like Girls Who Like Films,San Francisco,US,4.62,1357536639000,559,,,LGBT,,0,,
2502,California Writers Club - Berkeley Branch,Berkeley,US,4.67,1357551373000,414,,,writing,,0,,
2503,Albany-Berkeley-Orinda Pickup Soccer Group,Berkeley,US,4.86,1357584778000,1463,,,sports/recreation,,0,,
2504,Fun Young Singles!,San Francisco,US,4.3,1357584820000,4337,,,singles,,0,,
2505,Salt Stack DevOps,San Francisco,US,4.62,1357594896000,315,,,tech,,0,,
2506,Bay Area Adventures!,San Francisco,US,4.44,1357596114000,2478,,,socializing,,0,,
2507,South Marin DrinkTank,Belvedere Tiburon,US,4.89,1357597378000,53,,,tech,,0,,
2508,Excel Training,Oakland,US,4.52,1357607943000,302,,,tech,,0,,
2509,San Francisco Financial Literacy Group,San Francisco,US,5,1357619349000,49,,,career/business,,0,,
2510,The Radical Androgynous Union,Oakland,US,5,1357629886000,337,,,LGBT,,0,,
2511,San Francisco Bicycle Coalition,San Francisco,US,5,1357687720000,399,,,community/environment,,0,,
2512,New to San Francisco Socializing!,San Francisco,US,5,1357756023000,1876,,,socializing,,0,,
2513,After Hours Happy Hours,San Francisco,US,5,1357761883000,1423,,,socializing,,0,,
2514,Women's Startup Lab - Silicon Valley,Menlo Park,US,4.7,1357878892000,868,,,career/business,,0,,
2515,Entrepreneurial Finance,San Francisco,US,4.46,1357924764000,489,,,career/business,,0,,
2516,San Francisco Startup Ops,San Francisco,US,5,1357936985000,340,,,career/business,,0,,
2517,San Francisco Social Sports Fanatics!,San Francisco,US,5,1357941681000,1204,,,sports/recreation,,0,,
2518,San Francisco Paleo Lifestyle,San Francisco,US,4.73,1358047661000,365,,,food/drink,,0,,
2519,Social Chess in the Mission on Sundays,San Francisco,US,4.98,1358059888000,466,,,games,,0,,
2520,Gay Men's Sailing Club,Oakland,US,4.83,1358179913000,93,,,outdoors/adventure,,0,,
2521,East Bay Drupal Users Group,Oakland,US,4.73,1358188107000,160,,,tech,,0,,
2522,SF日本人エンジニアの飲み会,San Francisco,US,4.89,1358320372000,819,,,language/ethnic identity,,0,,
2523,SVForum 3D Printing and Scanning Forum,Redwood City,US,4.67,1358373674000,537,,,tech,,0,,
2524,Learning Android Development,San Francisco,US,4.88,1358375848000,1845,,,tech,,0,,
2525,Silicon Valley Python Data Science,Palo Alto,US,0,1358407201000,410,,,tech,,0,,
2526,Bay Area Fishing,Fremont,US,4.9,1358461254000,538,,,outdoors/adventure,,0,,
2527,Stanford - INNOVATORS,Stanford,US,4.56,1358582105000,522,,,tech,,0,,
2528,SF/NorCal RealJock Gay/Bi Sports & Social Group,San Francisco,US,4.93,1358600810000,330,,,LGBT,,0,,
2529,The San Francisco Labrador Retriever Meetup Group,San Francisco,US,4.5,1358638720000,176,,,pets/animals,,0,,
2530,Bay Area ABA Professionals,Oakland,US,4.95,1358657440000,97,,,career/business,,0,,
2531,Photochrome Camera Club - San Francisco,San Francisco,US,4.41,1358662120000,130,,,photography,,0,,
2532,Over 40 But Not Dead,San Francisco,US,4.64,1358674522000,774,,,socializing,,0,,
2533,Bunny Playdates,San Mateo,US,4.88,1358706749000,41,,,pets/animals,,0,,
2534,Play Chess in Oakland!,Oakland,US,4.97,1358721517000,412,,,games,,0,,
2535,San Francisco Contra Dancers,San Francisco,US,4.91,1358745675000,253,,,dancing,,0,,
2536,Movimento 5 Stelle - California,San Francisco,US,5,1358795991000,25,,,movements/politics,,0,,
2537,Bay Area Inclusion Roundtable,Oakland,US,0,1358799559000,32,,,career/business,,0,,
2538,Thrive or Die!,Oakland,US,5,1358819990000,64,,,socializing,,0,,
2539,SUP Kai: A Bay Area Stand Up Paddleboard & PaddleFIT group,Benicia,US,4.95,1358824357000,240,,,sports/recreation,,0,,
2540,Savor Oakland,Oakland,US,4.74,1358824448000,599,,,food/drink,,0,,
2541,Bay Area Landmark Graduates,San Francisco,US,4.94,1358834195000,54,,,socializing,,0,,
2542,East Bay Ladies 30s/20s Book Club,Oakland,US,4.64,1358836113000,38,,,book clubs,,0,,
2543,Fashion Technology (FT) Accelerator,San Francisco,US,4.75,1358880176000,694,,,career/business,,0,,
2544,Tech Liminal,Oakland,US,4.69,1358907477000,68,,,tech,,0,,
2545,San Francisco Area Flash Mobs-Dance Mob Nation,San Francisco,US,5,1358925189000,246,,,dancing,,0,,
2546,"Messages From Michael, discussion group",San Francisco,US,0,1358955596000,9,,,new age/spirituality,,0,,
2547,Erlang Factory SF Bay Area,San Francisco,US,4.67,1358959210000,207,,,tech,,0,,
